bus_id,target_stop_id,route_id,trip_id,prediction_made_at,scheduled_arrival_time,seconds_until_scheduled,current_delay_seconds,delay_at_last_stop,avg_delay_this_route_today,avg_delay_same_hour,schedule_adherence_score,delay_trend_last_3_stops,is_delay_accelerating,delay_per_stop_rate,stops_remaining,pct_route_completed,distance_remaining_km,total_segment_time_remaining,avg_segment_time_remaining,stddev_segment_time,min_segment_time,max_segment_time,segment_time_variance,minutes_since_last_checkpoint,checkpoint_freshness_score,checkpoint_age_penalty,has_recent_checkpoint,stops_since_last_checkpoint,time_to_next_expected_report,checkpoint_reliability_score,historical_delay_avg,historical_delay_p50,historical_delay_p90,same_day_hour_avg_delay,recent_24h_performance,recent_7d_performance,route_punctuality_score,historical_completion_rate,typical_delay_this_stop,historical_sample_count,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_peak_period,minutes_into_rush_hour,temperature,rain_1h,snow_1h,visibility,wind_speed,humidity,weather_delay_multiplier,traffic_level_encoded,is_holiday,is_special_event,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,reporters_at_target_stop,avg_reporter_accuracy_target,recent_report_density,report_consensus_strength,has_high_quality_reporter,reporter_cluster_tightness,actual_eta_seconds
1,5,1,1,1705840664,1705843074,2410.3857128620148,-31,9,246,182,0.95,81,1,7.75,1,0.6,2.33,379.0,379.0,69.0,266.0,493.0,4715.0,2.3,0.84,1.23,1,1,334.0,0.87,271,255,392,187,0.83,0.77,0.8,0.92,10,134,18,6,1,1,1,56,27.35,0.56,0,5157.87,6.42,77.2,1.15,3,0,0,0,1,0,0,0,0,0,3,0.85,0.49,0.82,0,0.68,777
9,25,5,9,1704577565,1704581018,3452.4669630527496,429,451,-75,201,0.29,-48,0,214.5,2,0.25,4.4,535.0,267.0,28.0,187.0,348.0,799.0,7.5,0.5,1.75,0,2,351.0,0.7,201,201,276,216,0.79,0.88,0.85,0.94,-26,86,3,6,1,0,0,0,30.43,0.0,0,10000.0,4.51,58.8,1.0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,833
9,25,5,9,1705891193,1705894070,2877.6540937423706,100,107,145,340,0.83,38,1,50.0,2,0.25,2.7,595.0,297.0,63.0,208.0,387.0,3988.0,3.8,0.74,1.38,1,2,340.0,0.92,-34,-17,73,341,0.76,0.84,0.76,0.97,91,183,8,0,0,1,1,33,28.41,0.0,0,10000.0,6.66,83.56,1.0,3,0,0,1,0,0,0,0,0,0,5,0.92,0.52,0.9,1,0.79,1060
2,3,1,2,1704864565,1704867396,2831.4737281799316,280,321,157,117,0.53,-14,0,140.0,1,0.2,2.17,416.0,416.0,91.0,291.0,541.0,8333.0,7.4,0.51,1.74,0,1,210.0,0.67,265,246,346,113,0.68,0.76,0.88,0.95,148,163,10,2,0,0,0,0,26.33,0.0,0,10000.0,2.46,65.0,1.0,2,0,0,1,0,0,0,0,0,0,12,0.93,1.0,1.0,1,1.0,636
4,8,2,4,1706155363,1706158732,3369.2276618480682,550,602,267,11,0.08,43,1,550.0,2,0.0,3.31,635.0,317.0,66.0,222.0,413.0,4414.0,3.2,0.79,1.32,1,2,386.0,0.88,49,22,171,-2,0.92,0.76,0.79,0.88,79,198,9,3,0,1,1,21,23.77,0.05,0,8704.7,1.92,86.16,1.03,3,0,0,0,1,0,0,0,0,0,14,1.04,1.0,1.0,1,1.0,1553
6,15,3,6,1705689780,1705691530,1749.8425307273865,548,558,269,1,0.09,65,1,182.67,2,0.33,3.51,525.0,262.0,29.0,184.0,341.0,863.0,7.8,0.48,1.78,0,0,369.0,0.75,299,312,378,0,0.77,0.77,0.77,0.96,82,79,0,5,1,0,0,0,25.15,0.0,0,3067.33,4.51,89.87,1.14,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,1136
2,4,1,2,1704735499,1704736553,1053.1308734416962,295,306,334,-25,0.51,10,0,98.33,1,0.4,0.95,276.0,276.0,34.0,193.0,359.0,1159.0,5.3,0.64,1.53,0,0,187.0,0.75,102,115,165,-41,0.8,0.92,0.79,0.88,37,220,23,0,0,0,0,0,22.07,0.0,0,4005.5,3.78,85.23,1.12,1,0,0,0,0,0,1,0,0,0,4,0.85,0.43,0.81,0,0.76,716
8,21,4,8,1706604254,1706606263,2008.5803067684174,-127,-104,-79,193,0.79,9,0,42.33,2,0.4,2.63,793.0,396.0,71.0,277.0,515.0,5052.0,4.3,0.71,1.43,1,1,259.0,0.92,237,221,299,198,0.83,0.79,0.85,0.95,-4,85,14,1,0,0,0,0,28.37,0.0,0,10000.0,7.03,71.9,1.0,2,0,0,1,0,0,0,0,0,0,5,0.86,0.58,0.86,1,0.79,911
4,9,2,4,1704803384,1704806568,3183.929044008255,-292,-348,234,63,0.51,-42,0,97.33,1,0.4,1.57,346.0,346.0,62.0,242.0,450.0,3891.0,9.5,0.37,1.95,0,1,317.0,0.84,114,135,202,62,0.8,0.92,0.82,0.89,157,237,17,1,0,1,1,5,26.64,0.0,0,10000.0,8.38,56.92,1.0,3,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,403
1,3,1,1,1705660585,1705663425,2840.0398910045624,228,265,15,101,0.62,23,1,114.0,1,0.2,1.22,361.0,361.0,38.0,253.0,470.0,1480.0,8.5,0.43,1.85,0,0,227.0,0.72,180,160,301,117,0.82,0.83,0.91,0.95,-24,248,16,4,0,0,0,0,21.71,0.0,0,6262.49,2.61,89.91,1.07,1,0,0,0,0,0,1,0,0,0,2,0.86,0.38,0.75,1,0.67,508
