bus_id,target_stop_id,prediction_made_at,scheduled_arrival_time,seconds_until_scheduled,current_delay_seconds,delay_at_last_stop,avg_delay_this_route_today,avg_delay_same_hour,schedule_adherence_score,delay_trend_last_3_stops,is_delay_accelerating,delay_per_stop_rate,stops_remaining,pct_route_completed,distance_remaining_km,total_segment_time_remaining,avg_segment_time_remaining,stddev_segment_time,min_segment_time,max_segment_time,segment_time_variance,minutes_since_last_checkpoint,checkpoint_freshness_score,checkpoint_age_penalty,has_recent_checkpoint,stops_since_last_checkpoint,time_to_next_expected_report,checkpoint_reliability_score,historical_delay_avg,historical_delay_p50,historical_delay_p90,same_day_hour_avg_delay,recent_24h_performance,recent_7d_performance,route_punctuality_score,historical_completion_rate,typical_delay_this_stop,historical_sample_count,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_peak_period,minutes_into_rush_hour,temperature,rain_1h,snow_1h,visibility,wind_speed,humidity,weather_delay_multiplier,traffic_level_encoded,is_holiday,is_special_event,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,reporters_at_target_stop,avg_reporter_accuracy_target,recent_report_density,report_consensus_strength,has_high_quality_reporter,reporter_cluster_tightness,actual_eta_seconds
8,17,1706567800,1706569325,1524.8789021968842,361,404,75,-18,0.4,2,0,361.0,2,0.0,2.09,679.0,340.0,49.0,238.0,441.0,2354.0,3.1,0.79,0.31,1,1,345.0,0.79,104,128,220,-6,0.8,0.9,0.88,0.9,155,184,4,1,0,0,0,0,25.13,0.0,0,5128.32,4.21,87.31,1.1,1,0,0,0,0,0,1,0,0,0,6,0.84,0.86,0.74,0,0.79,1227
5,10,1705020286,1705022268,1981.5912647247314,253,242,11,95,0.58,-1,0,126.5,1,0.14,1.56,257.0,257.0,49.0,180.0,333.0,2448.0,2.5,0.84,0.25,1,1,200.0,0.82,16,23,152,87,0.87,0.81,0.76,0.96,148,233,6,4,0,0,0,0,25.39,0.0,0,5783.29,6.22,91.11,1.08,1,0,0,0,0,0,1,0,0,0,5,0.85,0.54,0.75,0,0.71,702
5,10,1706533279,1706534723,1443.888350725174,-35,-56,44,135,0.94,67,1,35.0,2,0.0,2.17,802.0,401.0,54.0,281.0,521.0,2917.0,2.7,0.82,0.27,1,2,310.0,0.79,233,242,347,154,0.76,0.77,0.92,0.94,152,144,18,0,0,1,1,113,27.67,0.0,0,10000.0,8.12,83.2,1.0,3,0,0,1,0,0,0,0,0,0,4,0.89,0.66,0.67,1,0.73,1211
10,17,1706373800,1706376175,2375.554627418518,224,204,-89,-1,0.63,6,0,112.0,1,0.17,1.46,257.0,257.0,33.0,180.0,334.0,1093.0,1.1,0.93,0.11,1,1,359.0,0.63,268,245,320,-13,0.86,0.79,0.9,0.94,233,144,22,5,1,0,0,0,28.04,0.0,0,10000.0,4.83,62.42,1.0,1,0,0,1,0,0,0,0,0,0,6,0.94,0.72,0.76,1,0.88,438
7,19,1705039603,1705042571,2967.80122089386,-278,-277,166,278,0.54,67,1,69.5,1,0.5,1.3,380.0,380.0,89.0,266.0,494.0,7916.0,7.5,0.5,0.75,0,1,313.0,0.78,151,145,247,293,0.74,0.95,0.91,0.95,79,194,11,4,0,0,0,0,26.3,0.0,0,10000.0,7.39,65.95,1.0,2,0,0,1,0,0,0,0,0,0,2,0.95,0.84,0.93,1,0.83,397
9,17,1704314290,1704315752,1461.8164236545563,503,447,-37,212,0.16,69,1,503.0,2,0.0,3.63,630.0,315.0,46.0,220.0,409.0,2084.0,1.4,0.9,0.14,1,2,329.0,0.83,214,205,326,193,0.72,0.74,0.83,0.96,171,114,2,3,0,0,0,0,32.74,0.0,0,10000.0,3.66,59.41,1.0,1,0,0,1,0,0,0,0,0,0,4,0.93,0.88,0.81,1,0.63,1214
8,17,1704669744,1704670971,1227.2488489151,108,134,246,10,0.82,60,1,54.0,1,0.17,2.32,320.0,320.0,64.0,224.0,416.0,4050.0,9.6,0.36,0.96,0,1,305.0,0.88,168,155,259,-5,0.77,0.86,0.92,0.98,66,147,4,0,0,0,0,0,22.67,1.01,0,7627.18,6.49,75.64,1.15,1,0,0,0,1,0,0,0,0,0,0,0.0,0.2,0.83,0,0.7,526
7,18,1704404732,1704407171,2438.0838873386383,213,246,334,87,0.65,-32,0,213.0,3,0.0,5.43,1153.0,384.0,54.0,269.0,499.0,2880.0,2.9,0.81,0.29,1,1,312.0,0.84,6,25,96,95,0.91,0.78,0.86,0.95,171,228,3,4,0,0,0,0,27.19,0.0,0,10000.0,9.34,70.47,1.0,1,0,0,1,0,0,0,0,0,0,2,0.88,0.55,0.75,1,0.76,1532
7,19,1705403978,1705406035,2056.545766353607,-247,-271,110,242,0.59,-37,0,61.75,1,0.5,2.26,286.0,286.0,56.0,200.0,371.0,3103.0,2.5,0.83,0.25,1,0,331.0,0.76,137,124,249,260,0.83,0.86,0.8,0.92,102,242,16,1,0,0,0,0,24.65,0.0,0,5916.41,3.27,88.12,1.08,1,0,0,0,0,0,1,0,0,0,4,0.94,0.81,0.76,1,0.72,75
8,20,1704378347,1704381184,2836.7327132225037,387,442,-17,108,0.35,-21,0,77.4,1,0.67,1.05,352.0,352.0,60.0,246.0,458.0,3553.0,9.4,0.37,0.94,0,1,233.0,0.83,-42,-36,31,126,0.74,0.85,0.93,0.91,52,236,19,3,0,1,1,30,20.97,0.0,0,4856.78,6.38,97.82,1.1,3,0,0,0,0,0,1,0,0,0,2,0.73,0.37,0.92,0,0.61,1278
