bus_id,target_stop_id,prediction_made_at,scheduled_arrival_time,seconds_until_scheduled,current_delay_seconds,delay_at_last_stop,avg_delay_this_route_today,avg_delay_same_hour,schedule_adherence_score,delay_trend_last_3_stops,is_delay_accelerating,delay_per_stop_rate,stops_remaining,pct_route_completed,distance_remaining_km,total_segment_time_remaining,avg_segment_time_remaining,stddev_segment_time,min_segment_time,max_segment_time,segment_time_variance,minutes_since_last_checkpoint,checkpoint_freshness_score,checkpoint_age_penalty,has_recent_checkpoint,stops_since_last_checkpoint,time_to_next_expected_report,checkpoint_reliability_score,historical_delay_avg,historical_delay_p50,historical_delay_p90,same_day_hour_avg_delay,recent_24h_performance,recent_7d_performance,route_punctuality_score,historical_completion_rate,typical_delay_this_stop,historical_sample_count,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_peak_period,minutes_into_rush_hour,temperature,rain_1h,snow_1h,visibility,wind_speed,humidity,weather_delay_multiplier,traffic_level_encoded,is_holiday,is_special_event,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,reporters_at_target_stop,avg_reporter_accuracy_target,recent_report_density,report_consensus_strength,has_high_quality_reporter,reporter_cluster_tightness,actual_eta_seconds
8,17,1704297344508,1704299026021,1681.5128245353699,193,237,-60,290,0.68,73,1,193.0,2,0.0,1.95,659.0,330.0,54.0,231.0,428.0,2929.0,3.9,0.74,1.39,1,2,289.0,0.64,-13,-14,123,274,0.91,0.79,0.81,0.93,174,194,21,2,0,0,0,0,25.72,0.0,0,4886.07,9.44,88.15,1.1,1,0,0,0,0,0,1,0,0,0,3,0.74,0.23,0.87,0,0.65,771
5,10,1704835254655,1704837375903,2121.2482719421387,582,595,173,220,0.03,46,1,291.0,1,0.14,1.14,338.0,338.0,56.0,236.0,439.0,3143.0,4.5,0.7,1.45,1,0,359.0,0.71,71,68,179,221,0.77,0.88,0.82,0.95,9,217,2,2,0,0,0,0,20.12,0.0,0,4756.77,8.08,94.35,1.1,1,0,0,0,0,0,1,0,0,0,3,0.86,0.65,0.77,1,0.68,962
5,10,1705598159496,1705601424209,3264.7135734558105,-167,-194,211,173,0.72,-26,0,167.0,2,0.0,4.77,578.0,289.0,61.0,202.0,376.0,3729.0,1.7,0.88,1.17,1,0,269.0,0.66,171,180,264,187,0.89,0.82,0.79,0.94,18,124,22,3,0,0,0,0,24.21,0.0,0,10000.0,3.88,65.35,1.0,1,0,0,1,0,0,0,0,0,0,1,0.88,0.78,0.72,1,0.87,361
10,17,1704717352140,1704720042303,2690.163283586502,-75,-33,78,171,0.88,63,1,37.5,1,0.17,1.46,240.0,240.0,30.0,168.0,312.0,891.0,8.9,0.4,1.89,0,1,202.0,0.65,164,191,270,173,0.91,0.91,0.81,0.93,63,134,18,0,0,1,1,25,32.29,0.0,0,10000.0,6.35,54.85,1.0,3,0,0,1,0,0,0,0,0,0,3,0.9,0.34,0.74,1,0.89,605
7,19,1704712904020,1704713821538,917.5178263187408,-152,-191,164,111,0.75,78,1,50.67,2,0.33,4.75,517.0,258.0,49.0,181.0,336.0,2414.0,3.7,0.75,1.37,1,1,218.0,0.79,270,254,383,114,0.87,0.79,0.85,0.92,21,165,16,0,0,0,0,0,30.62,0.0,0,10000.0,1.72,52.48,1.0,1,0,0,1,0,0,0,0,0,0,5,0.83,0.87,0.78,0,0.66,341
9,17,1704240929707,1704242557757,1628.0492265224457,57,67,343,62,0.91,-21,0,28.5,1,0.17,2.26,307.0,307.0,32.0,215.0,400.0,994.0,4.5,0.7,1.45,1,0,364.0,0.74,-16,5,66,62,0.75,0.79,0.94,0.9,64,60,5,2,0,0,0,0,29.82,0.0,0,10000.0,9.54,60.59,1.0,1,0,0,1,0,0,0,0,0,0,1,0.73,0.54,0.69,0,0.73,363
8,17,1704641355716,1704642917808,1562.0928616523743,28,41,374,-45,0.95,-36,0,14.0,1,0.17,1.03,392.0,392.0,67.0,274.0,510.0,4510.0,2.5,0.84,1.25,1,1,390.0,0.7,205,210,309,-44,0.86,0.7,0.82,0.91,128,126,20,6,1,0,0,0,24.98,0.44,0,6289.42,6.87,93.01,1.12,1,0,0,0,1,0,0,0,0,0,1,0.85,0.48,0.8,1,0.78,569
7,18,1705682369312,1705685289656,2920.343510866165,473,501,396,159,0.21,99,1,473.0,3,0.0,5.06,1089.0,363.0,51.0,254.0,472.0,2598.0,6.4,0.57,1.64,0,2,357.0,0.74,-46,-62,12,166,0.83,0.83,0.94,0.95,29,135,22,4,0,0,0,0,25.32,0.0,0,10000.0,1.64,71.2,1.0,1,0,0,1,0,0,0,0,0,0,1,0.74,0.72,0.68,0,0.88,1568
7,19,1705268520706,1705270355187,1834.4808778762817,-71,-35,29,4,0.88,-36,0,35.5,3,0.17,4.96,1108.0,369.0,46.0,259.0,480.0,2078.0,9.3,0.38,1.93,0,1,189.0,0.84,9,15,61,23,0.7,0.87,0.79,0.89,169,125,3,0,0,0,0,0,23.15,0.0,0,5997.34,4.6,95.61,1.08,1,0,0,0,0,0,1,0,0,0,6,0.77,0.48,0.89,0,0.61,1067
8,20,1705343052311,1705344957855,1905.5439796447754,249,199,335,298,0.58,-31,0,83.0,3,0.33,4.35,1070.0,357.0,87.0,250.0,464.0,7628.0,5.6,0.63,1.56,0,2,141.0,0.82,71,49,208,308,0.82,0.94,0.88,0.95,41,63,23,0,0,0,0,0,22.96,0.0,0,4883.83,8.21,89.77,1.1,1,0,0,0,0,0,1,0,0,0,4,0.81,0.38,0.76,0,0.76,1282
