bus_id,stop_id,arrival_time,report_count,unique_reporters,reports_per_minute,time_since_last_report_s,time_since_first_report_s,distance_mean,distance_median,distance_std,pct_within_radius,acc_mean,weighted_dist_mean,prev_arrival_time,time_since_last_arrival_s,t_mean,t_std,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_early_morning,is_mid_day,is_evening,is_night,confirm_prob,rain_1h,snow_1h,temperature,wind_speed,humidity,visibility,weather_delay_multiplier
2,1,1705090207,11,8,0.03,51.0,144.2,38.46,44.09,10.78,0.8,0.000593,45.69,1705083912.8,6295.2,491.11,46.88,1,5,1,0,0,0,0,1,0.6003,0.4,0,23.83,3.62,85.5,6727.8,1.11
4,9,1705687322,16,15,0.06,236.6,167.8,261.97,271.66,29.85,0.73,0.001267,216.4,1705680398.7,6924.0,1169.07,294.72,23,4,0,0,0,0,0,1,0.7322,0.0,0,25.83,7.16,66.95,10000.0,1.0
2,6,1705231475,12,8,0.24,273.2,199.7,334.64,309.43,85.67,0.68,0.001332,397.49,1705225489.5,5985.7,1145.55,313.54,16,6,1,0,0,1,0,0,0.5149,0.0,0,30.98,1.8,68.44,10000.0,1.0
10,18,1704602187,21,16,0.05,164.2,376.8,482.98,503.65,88.29,0.51,0.001244,389.4,1704598101.2,4086.4,655.39,80.86,10,6,1,0,0,1,0,0,0.7052,0.0,0,25.14,7.4,53.98,10000.0,1.0
1,1,1706131535,10,7,0.02,274.9,519.0,230.23,192.97,48.64,0.77,0.003497,238.64,1706128251.5,3283.5,805.12,117.33,2,3,0,0,0,0,0,1,0.53,0.0,0,29.83,7.5,81.98,10000.0,1.0
4,12,1704727472,7,7,0.02,37.7,297.2,108.84,126.07,26.41,0.69,0.00363,93.14,1704722409.1,5063.9,785.86,79.19,20,0,0,0,0,0,1,0,0.5015,0.0,0,34.43,7.25,61.98,10000.0,1.0
9,16,1706383572,13,6,0.04,69.4,284.9,442.81,411.69,60.5,0.55,0.004581,402.45,1706378275.1,5297.5,300.47,41.51,0,6,1,0,0,0,0,1,0.4954,0.0,0,21.83,5.36,87.14,5136.4,1.1
4,11,1705896194,12,12,0.1,69.5,361.4,207.88,171.7,36.62,0.47,0.003633,225.53,1705893594.5,2599.7,1197.97,139.8,9,0,0,1,0,1,0,0,0.5819,7.5,0,24.47,6.71,75.66,6380.3,1.82
1,7,1705872988,6,4,0.08,114.0,190.8,403.54,398.74,159.41,0.58,0.004174,451.7,1705870374.7,2613.9,757.38,169.62,3,0,0,0,0,0,0,1,0.2884,0.0,0,29.15,2.98,71.52,10000.0,1.0
7,17,1705933899,20,9,0.05,119.1,565.8,77.39,72.47,10.37,0.95,0.004448,69.89,1705928535.7,5363.9,1035.5,195.5,20,0,0,0,0,0,1,0,0.7541,1.5,0,23.45,9.1,76.86,8588.9,1.18
3,2,1705738798,9,3,0.02,254.8,522.4,208.21,240.5,73.97,0.95,0.004034,222.28,1705733863.3,4935.7,635.05,181.01,13,5,1,0,0,1,0,0,0.47,7.3,0,23.7,5.04,81.11,6942.5,1.79
2,1,1706657433,1,1,0.01,101.0,463.1,328.32,374.18,97.6,0.7,0.000922,310.95,1706654201.7,3232.1,519.59,152.37,5,2,0,0,1,0,0,0,0.269,0.0,0,22.36,8.15,96.6,5524.6,1.09
2,3,1705422235,1,1,0.01,152.3,368.9,386.59,316.02,154.0,0.63,0.001758,445.89,1705416397.7,5837.7,1157.76,153.62,21,1,0,0,0,0,0,1,0.1988,1.6,0,25.43,3.75,94.61,5301.4,1.25
10,17,1704563841,3,3,0.01,281.2,435.9,289.33,242.71,82.32,0.99,0.00113,291.45,1704557303.6,6537.8,966.69,216.78,23,5,1,0,0,0,0,1,0.3973,0.0,0,32.02,3.64,57.19,10000.0,1.0
8,19,1706174064,18,13,0.24,6.5,399.1,105.19,87.14,23.04,0.34,0.00449,85.32,1706169138.2,4925.9,694.63,151.43,14,3,0,0,0,1,0,0,0.6551,0.0,0,28.28,9.84,53.1,10000.0,1.0
7,15,1706301115,20,10,0.04,111.3,128.6,265.9,294.62,43.81,0.74,0.000884,218.22,1706296446.3,4669.3,786.57,164.67,2,5,1,0,0,0,0,1,0.6934,2.6,0,27.86,8.16,85.33,6291.8,1.33
10,17,1704785397,21,9,0.05,22.2,554.2,226.75,203.15,29.06,0.43,0.004706,239.29,1704780807.0,4590.2,891.4,141.66,12,1,0,0,0,1,0,0,0.6435,0.0,0,28.38,6.09,65.95,10000.0,1.0
